lesson_item_id,lesson_key,order_index,item_type,concept_key,prompt_language,answer_language,prompt_text,source_files,status,notes
li_00001,greetings_01,1,vocabulary_card,good_morning,en,med,Good morning,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00002,greetings_01,2,vocabulary_card,good_night,en,med,Good night,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00003,greetings_01,3,vocabulary_card,hello,en,med,Hello,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00004,greetings_01,4,vocabulary_card,how_are_you,en,med,How are you?,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00005,greetings_01,5,vocabulary_card,please,en,med,Please,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00006,greetings_01,6,vocabulary_card,sleep_tight,en,med,sleep tight,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00007,greetings_01,7,vocabulary_card,thank_you,en,med,Thank you,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00008,greetings_01,8,vocabulary_card,welcome,en,med,Welcome,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00009,greetings_01,9,vocabulary_card,well_done,en,med,Well done,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00010,greetings_01,10,vocabulary_card,you_are_welcome,en,med,You are welcome,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00011,family_01,1,vocabulary_card,a_boy,en,med,A boy,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00012,family_01,2,vocabulary_card,a_girl,en,med,A girl,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00013,family_01,3,vocabulary_card,a_woman,en,med,A woman,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00014,family_01,4,vocabulary_card,child,en,med,child,frabcaise_3.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00015,family_01,5,vocabulary_card,children_should_obey_their_parents,en,med,Children should obey their parents.,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00016,family_01,6,vocabulary_card,father,en,med,Father,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00017,family_01,7,vocabulary_card,friend,en,med,friend,Anta et Mamadou (1).docx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00018,family_01,8,vocabulary_card,give_to_your_brother,en,med,Give to your brother,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00019,family_01,9,vocabulary_card,husband,en,med,Husband,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00020,family_01,10,vocabulary_card,in_the_name_of_the_father,en,med,In the name of the father,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00021,family_01,11,vocabulary_card,mother,en,med,mother,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00022,family_01,12,vocabulary_card,my_brother,en,med,My brother,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00023,family_01,13,vocabulary_card,my_father,en,med,My father,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00024,family_01,14,vocabulary_card,my_mother,en,med,My mother,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00025,family_01,15,vocabulary_card,my_sister,en,med,My sister,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00026,family_01,16,vocabulary_card,please_mother,en,med,Please mother,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00027,family_01,17,vocabulary_card,please_my_brother,en,med,Please my brother,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00028,family_01,18,vocabulary_card,please_my_sister,en,med,Please my sister,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00029,family_01,19,vocabulary_card,the_child,en,med,The child,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00030,family_01,20,vocabulary_card,the_child_is_sick,en,med,The child is sick,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00031,family_01,21,vocabulary_card,where_is_your_dad,en,med,Where is your Dad?,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00032,family_01,22,vocabulary_card,where_is_your_father,en,med,Where is your father?,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00033,family_01,23,vocabulary_card,wife,en,med,Wife,simple-eng-med.xlsx; frabcaise_3.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00034,family_01,24,vocabulary_card,woman,en,med,Woman,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00035,family_01,25,vocabulary_card,young_man,en,med,young man,frabcaise_3.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00036,body_01,1,vocabulary_card,ahead,en,med,Ahead,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00037,body_01,2,vocabulary_card,belly,en,med,Belly,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00038,body_01,3,vocabulary_card,close_your_eyes,en,med,Close your eyes,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00039,body_01,4,vocabulary_card,do_you_hear,en,med,Do you hear?,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00040,body_01,5,vocabulary_card,don_t_hear,en,med,Don't hear,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00041,body_01,6,vocabulary_card,ears,en,med,Ears,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00042,body_01,7,vocabulary_card,hand,en,med,Hand,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00043,body_01,8,vocabulary_card,head,en,med,Head,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00044,body_01,9,vocabulary_card,hear,en,med,hear,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00045,body_01,10,vocabulary_card,i_have_heard,en,med,I have heard,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
li_00046,body_01,11,vocabulary_card,learn,en,med,Learn,simple-eng-med.xlsx,draft_needs_review,Generated from concept seed. Add audio/image later.
