source_file,source_sheet,source_row,English,Medumba,category,status,review_reason,word_count
eng-med_processing.xlsx,Processed_Entries_Combined,1,English,Medumba,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,2,Skip to content,Tsho ntùm tshu,general,needs_review,Needs native speaker review.,3
eng-med_processing.xlsx,Processed_Entries_Combined,3,Change site language,Bade ntshob yen du' li num koñnkùn,actions,needs_review,Needs native speaker review.,3
eng-med_processing.xlsx,Processed_Entries_Combined,4,CLOSE,LOGE,app_ui,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,5,Log In,Tsho ntùm bwe,app_ui,needs_review,Needs native speaker review.,2
eng-med_processing.xlsx,Processed_Entries_Combined,6,Search,Diag,body,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,7,Show Menu,La’de Tunu,app_ui,needs_review,Needs native speaker review.,2
eng-med_processing.xlsx,Processed_Entries_Combined,8,Home,Netoʼde,home_objects,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,9,Bible Teachings,Ntswide Ñwaʼni Nsi,general,source_context_only,Religious/source-context term; do not import into child lessons by default.,2
eng-med_processing.xlsx,Processed_Entries_Combined,10,Bible Questions Answered,Mbùnde mbètte Ñwaʼni Nsi,general,source_context_only,Religious/source-context term; do not import into child lessons by default.,3
eng-med_processing.xlsx,Processed_Entries_Combined,11,Bible Study Tools,Tshu neloʼ nziʼde Ñwaʼni Nsi yi,general,source_context_only,Religious/source-context term; do not import into child lessons by default.,3
eng-med_processing.xlsx,Processed_Entries_Combined,12,Teenagers,Ghuan benntùn,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,13,Children,Bônkeʼ,family_people,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,14,Library,Feʼ Ñwaʼni,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,15,Show more,Yen njoñ i fa,actions,needs_review,Needs native speaker review.,2
eng-med_processing.xlsx,Processed_Entries_Combined,16,Online Bible,Ñwaʼni Nsi,general,source_context_only,Religious/source-context term; do not import into child lessons by default.,2
eng-med_processing.xlsx,Processed_Entries_Combined,17,Magazines,Ñwaʼni Nwu,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,18,Books & Brochures,Ñwaʼni bo kam buʼ ñwaʼni,learning,needs_review,Needs native speaker review.,2
eng-med_processing.xlsx,Processed_Entries_Combined,19,Meeting Workbooks,Buʼki num ntseʼde,learning,needs_review,Needs native speaker review.,2
eng-med_processing.xlsx,Processed_Entries_Combined,20,Kingdom Ministry,Fe ñwaʼni Nufen,actions,source_context_only,Religious/source-context term; do not import into child lessons by default.,2
eng-med_processing.xlsx,Processed_Entries_Combined,21,Music,Kwi,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,22,Audio Dramas,Nejuʼ tshô Ñwaʼni Nsi,general,needs_review,Needs native speaker review.,2
eng-med_processing.xlsx,Processed_Entries_Combined,23,Dramatic Bible Readings,Juʼ mba bo siañ Ñwaʼni Nsi là,learning,source_context_only,Religious/source-context term; do not import into child lessons by default.,3
eng-med_processing.xlsx,Processed_Entries_Combined,24,Videos,Laʼde netshañ,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,25,JW Broadcasting,Ngùayen JW,general,needs_review,Needs native speaker review.,2
eng-med_processing.xlsx,Processed_Entries_Combined,26,Online Library,Tshag ñwa’ni num koñnkùn,general,needs_review,Needs native speaker review.,2
eng-med_processing.xlsx,Processed_Entries_Combined,27,Newsroom,Ndà Nkùn,home_objects,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,28,JW News,Nkùn JW,general,needs_review,Needs native speaker review.,2
eng-med_processing.xlsx,Processed_Entries_Combined,29,About Us,Mfà Num Bag,general,needs_review,Needs native speaker review.,2
eng-med_processing.xlsx,Processed_Entries_Combined,30,About Jehovah’s Witnesses,Mfà num Ghakwénta Yaweh Nsi,general,source_context_only,Religious/source-context term; do not import into child lessons by default.,3
eng-med_processing.xlsx,Processed_Entries_Combined,31,Frequently Asked Questions,Bètte bo yôg o,general,needs_review,Needs native speaker review.,3
eng-med_processing.xlsx,Processed_Entries_Combined,32,Meetings,Ntseʼde,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,33,Memorial,Nekwimde,general,source_context_only,Religious/source-context term; do not import into child lessons by default.,1
eng-med_processing.xlsx,Processed_Entries_Combined,34,Conventions,Mbumde ndùb,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,35,Donations,Fà bwôntù,actions,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,36,Log In,Tsho Ntùm Bwe,app_ui,needs_review,Needs native speaker review.,2
eng-med_processing.xlsx,Processed_Entries_Combined,37,Close,Loge,app_ui,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,38,Jehovah’s Witnesses,Ghakwénta Yaweh Nsi,general,source_context_only,Religious/source-context term; do not import into child lessons by default.,2
eng-med_processing.xlsx,Processed_Entries_Combined,39,Select language Bangangté,Lo' ta' ntshob Bangangté,general,needs_review,Needs native speaker review.,3
eng-med_processing.xlsx,Processed_Entries_Combined,40,Log In,Tsho ntùm bwe,app_ui,needs_review,Needs native speaker review.,2
eng-med_processing.xlsx,Processed_Entries_Combined,41,Search,Nédiàge,body,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,42,Teenagers,Ghuan benntùn,general,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,43,Children,Bônkeʼ,family_people,needs_review,Needs native speaker review.,1
eng-med_processing.xlsx,Processed_Entries_Combined,44,Living With Chronic Illness Can the Bible Help?,Be Ñwaʼni Nsi ywimdʼo a be zʼo ghù taʼ neta ngokèt là ké?,values_communication,source_context_only,Religious/source-context term; do not import into child lessons by default.,8
eng-med_processing.xlsx,Processed_Entries_Combined,45,The Bible's Answer,Bùnde Ñwaʼni Nsi,general,source_context_only,Religious/source-context term; do not import into child lessons by default.,3
eng-med_processing.xlsx,Processed_Entries_Combined,46,"Regarding a faithful the Bible says: “Jehovah himself will sustain him upon a divan servant of illness.”""",Ñwaʼni Nsi tshob mfà num taʼ ngafaʼ Nsi mbe: “[Yaweh Nsi] be ntomdʼé num kunndà ngeʼ.”,location_direction,source_context_only,Religious/source-context term; do not import into child lessons by default.,17
eng-med_processing.xlsx,Processed_Entries_Combined,47,Yes. God cares about his servants who are sick.,Ñ. Nsi tshwèt nywin num ghafaʼ tse tse bo tshwèt ngon nà. Ñwaʼni Nsi tshob mfà num taʼ ngafaʼ Nsi mbe: “[Yaweh Nsi] be ntomdʼé num kunndà ngeʼ.”,questions,source_context_only,Religious/source-context term; do not import into child lessons by default.,9
eng-med_processing.xlsx,Processed_Entries_Combined,48,"If you are living with chronic illness, the following three steps can help you to cope:","A be zʼo ghù taʼ neta ngokèt là, tshen tshu tat li kuʼni neywimdʼo:",values_communication,needs_review,Long/paragraph entry; keep as raw source or split manually.,16
eng-med_processing.xlsx,Processed_Entries_Combined,49,"You can receive “the peace of God that excels all thought,” which can reduce your anxiety and sustain you.","“Fide Nsi zʼa tshùa njoñ zenu fa là nsi béb ntù [o],” njwimdʼo nenya ke bèn nywin neshu, mbèn ntomdʼo.",questions,source_context_only,Religious/source-context term; do not import into child lessons by default.,19
eng-med_processing.xlsx,Processed_Entries_Combined,50,Pray for strength to endure.,Leʼde Nsi a fà neta wù nefènde.,general,source_context_only,Religious/source-context term; do not import into child lessons by default.,5
eng-med_processing.xlsx,Processed_Entries_Combined,51,Be positive. The Bible says,Ghù mbwô nkwade. Ñwaʼni Nsi mbe,values_communication,source_context_only,Religious/source-context term; do not import into child lessons by default.,5
eng-med_processing.xlsx,Processed_Entries_Combined,52,Being cheerful keeps you healthy. It is slow death to be gloomy all the time.,"Ntù zʼa num ntsiañde là bʼa taʼ fu ntùn, là ywèt tse nyuʼ vù bwe là be njumde mvôge.",food_drink,exclude_from_kids_or_review,Potentially unsuitable for child beginner content or needs human decision.,15
eng-med_processing.xlsx,Processed_Entries_Combined,53,"Cultivate your sense of humor, since this not only can lighten dark times but also can benefit your health.","Dùʼ mat ne nke nkom zwi, yennà aʼ ywimdʼo ngelañ kebwô, mbèn njwimdʼo num yu ntswe mebwô.",general,needs_review,Long/paragraph entry; keep as raw source or split manually.,19
eng-med_processing.xlsx,Processed_Entries_Combined,54,"Build your hope in the future. A sound hope can help you have joy despite chronic ailments.""","Ghù taʼ nywinde zʼa ta là mfà num ndùmànyam. Taʼ nywinde ntùn kuʼni neywimdʼo o ghù tsiañde mba tà ndù o ghù taʼ neta ngokèt""",values_communication,needs_review,Long/paragraph entry; keep as raw source or split manually.,17
