concept_text_id,concept_key,language_code,text,text_type,is_primary,source_file,source_sheet,source_row,status,notes
ct_00001,what_s_happening,en,What's happening?,phrase,True,simple-eng-med.xlsx,Sheet1,3,auto_extracted_needs_review,English source text.
ct_00002,what_s_happening,med,A côb mbè ke?,phrase,False,simple-eng-med.xlsx,Sheet1,3,needs_native_review,Médumba translation candidate from source file.
ct_00003,everyone,en,Everyone,word,True,simple-eng-med.xlsx,Sheet1,5,auto_extracted_needs_review,English source text.
ct_00004,everyone,med,Njoñ benntùn fa,phrase,False,simple-eng-med.xlsx,Sheet1,5,needs_native_review,Médumba translation candidate from source file.
ct_00005,remove_your_hand,en,Remove your hand,phrase,True,simple-eng-med.xlsx,Sheet1,8,auto_extracted_needs_review,English source text.
ct_00006,remove_your_hand,med,Le' bu u,phrase,False,simple-eng-med.xlsx,Sheet1,8,needs_native_review,Médumba translation candidate from source file.
ct_00007,play,en,Play,word,True,simple-eng-med.xlsx,Sheet1,29,auto_extracted_needs_review,English source text.
ct_00008,play,med,Siañe,word,False,simple-eng-med.xlsx,Sheet1,29,needs_native_review,Médumba translation candidate from source file.
ct_00009,current_time,en,Current time,phrase,True,simple-eng-med.xlsx,Sheet1,30,auto_extracted_needs_review,English source text.
ct_00010,current_time,med,Ngelañ ndônni,phrase,False,simple-eng-med.xlsx,Sheet1,30,needs_native_review,Médumba translation candidate from source file.
ct_00011,loaded,en,Loaded:,word,True,simple-eng-med.xlsx,Sheet1,31,auto_extracted_needs_review,English source text.
ct_00012,loaded,med,A ku’u:,phrase,False,simple-eng-med.xlsx,Sheet1,31,needs_native_review,Médumba translation candidate from source file.
ct_00013,progress,en,Progress:,word,True,simple-eng-med.xlsx,Sheet1,32,auto_extracted_needs_review,English source text.
ct_00014,progress,med,Njoñ:,word,False,simple-eng-med.xlsx,Sheet1,32,needs_native_review,Médumba translation candidate from source file.
ct_00015,mute,en,Mute,word,True,simple-eng-med.xlsx,Sheet1,33,auto_extracted_needs_review,English source text.
ct_00016,mute,med,Ne lok nze i,phrase,False,simple-eng-med.xlsx,Sheet1,33,needs_native_review,Médumba translation candidate from source file.
ct_00017,children_should_obey_their_parents,en,Children should obey their parents.,phrase,True,simple-eng-med.xlsx,Sheet1,153,auto_extracted_needs_review,English source text.
ct_00018,children_should_obey_their_parents,med,Bônkeʼ ghù ne njuʼ ntshu tà tshob mba mà tshobe.,phrase,False,simple-eng-med.xlsx,Sheet1,153,needs_native_review,Médumba translation candidate from source file.
ct_00019,do_what_is_good,en,Do what is good.,phrase,True,simple-eng-med.xlsx,Sheet1,169,auto_extracted_needs_review,English source text.
ct_00020,do_what_is_good,med,Ghù numebwô.,phrase,False,simple-eng-med.xlsx,Sheet1,169,needs_native_review,Médumba translation candidate from source file.
ct_00021,be_honest,en,Be honest.,phrase,True,simple-eng-med.xlsx,Sheet1,172,auto_extracted_needs_review,English source text.
ct_00022,be_honest,med,Be mèn nenùne.,phrase,False,simple-eng-med.xlsx,Sheet1,172,needs_native_review,Médumba translation candidate from source file.
ct_00023,show_love,en,Show love.,phrase,True,simple-eng-med.xlsx,Sheet1,176,auto_extracted_needs_review,English source text.
ct_00024,show_love,med,Kô tsemoʼ benntùn.,phrase,False,simple-eng-med.xlsx,Sheet1,176,needs_native_review,Médumba translation candidate from source file.
ct_00025,shut_up_don_t_say_that,en,Shut up don’t say that,phrase,True,simple-eng-med.xlsx,Sheet1,221,auto_extracted_needs_review,English source text.
ct_00026,shut_up_don_t_say_that,med,"Mùm ntshu o, kà tshob ndùlà",phrase,False,simple-eng-med.xlsx,Sheet1,221,needs_native_review,Médumba translation candidate from source file.
ct_00027,pull_that_rope_from_there,en,Pull that rope from there,phrase,True,simple-eng-med.xlsx,Sheet1,222,auto_extracted_needs_review,English source text.
ct_00028,pull_that_rope_from_there,med,To'de nesoñ nku là à mà bwe.,phrase,False,simple-eng-med.xlsx,Sheet1,222,needs_native_review,Médumba translation candidate from source file.
ct_00029,let_s_go_to_the_shop,en,Let’s go to the shop,phrase,True,simple-eng-med.xlsx,Sheet1,224,auto_extracted_needs_review,English source text.
ct_00030,let_s_go_to_the_shop,med,Bag bin nèn tàn,phrase,False,simple-eng-med.xlsx,Sheet1,224,needs_native_review,Médumba translation candidate from source file.
ct_00031,let_s_go_to_the_shop,en,Let’s go to the shop,phrase,True,simple-eng-med.xlsx,Sheet1,225,auto_extracted_needs_review,English source text.
ct_00032,let_s_go_to_the_shop,med,Bag wù nèn ta ntàn,phrase,False,simple-eng-med.xlsx,Sheet1,225,needs_native_review,Médumba translation candidate from source file.
ct_00033,let_s_go_to_the_shop,en,Let’s go to the shop,phrase,True,simple-eng-med.xlsx,Sheet1,226,auto_extracted_needs_review,English source text.
ct_00034,let_s_go_to_the_shop,med,Bag bin nèn ta ntàn,phrase,False,simple-eng-med.xlsx,Sheet1,226,needs_native_review,Médumba translation candidate from source file.
ct_00035,have_a_seat_please,en,Have a seat please,phrase,True,simple-eng-med.xlsx,Sheet1,227,auto_extracted_needs_review,English source text.
ct_00036,have_a_seat_please,med,Tswe nsi netsho'o,phrase,False,simple-eng-med.xlsx,Sheet1,227,needs_native_review,Médumba translation candidate from source file.
ct_00037,a_little_bit,en,A little bit,phrase,True,simple-eng-med.xlsx,Sheet1,228,auto_extracted_needs_review,English source text.
