concept_key,English,Medumba,category,difficulty,recommended_for_mvp,source_file,source_sheet,source_row,status,word_count,notes
awaken_him,awaken him,bà mi,actions,beginner,True,simple-eng-med.xlsx,Sheet1,449,needs_review,2,
bring,Bring,Se' yi,actions,beginner,True,simple-eng-med.xlsx,Sheet1,557,needs_review,1,
bring_back_to_you,Bring back to you,Se' va we,actions,beginner,True,simple-eng-med.xlsx,Sheet1,326,needs_review,4,
come,Come,Se',actions,beginner,True,simple-eng-med.xlsx,Sheet1,290,needs_review,1,
come,Come,Sè',actions,beginner,True,simple-eng-med.xlsx,Sheet1,758,needs_review,1,
come_and_embrace_me,Come and embrace me,Sè' ntsiag am,actions,beginner,True,simple-eng-med.xlsx,Sheet1,691,needs_review,4,
come_and_embrace_me,Come and embrace me,Sè' ntsiag am,actions,beginner,True,simple-eng-med.xlsx,Sheet1,760,needs_review,4,
come_and_get,Come and get,Se' ko,actions,beginner,True,simple-eng-med.xlsx,Sheet1,327,needs_review,3,
come_and_greet_me,Come and greet me,Sè' tsha’de am,actions,beginner,True,simple-eng-med.xlsx,Sheet1,692,needs_review,4,
come_and_sleep,Come and sleep,Sè' nzi,actions,beginner,True,simple-eng-med.xlsx,Sheet1,729,needs_review,3,
come_and_take,Come and take,Sè' ko,actions,beginner,True,simple-eng-med.xlsx,Sheet1,759,needs_review,3,
do_it_again,Do it again,Ben ghù,actions,beginner,True,simple-eng-med.xlsx,Sheet1,559,needs_review,3,
do_like_that,Do like that,Ghù ndulâ,actions,beginner,True,simple-eng-med.xlsx,Sheet1,747,needs_review,3,
do_like_this,Do like this,Ghù ndû,actions,beginner,True,simple-eng-med.xlsx,Sheet1,746,needs_review,3,
don_t_awaken_her,don't awaken her,ka bà mi,actions,beginner,True,simple-eng-med.xlsx,Sheet1,450,needs_review,3,
don_t_buy,Don't buy,Kâ jun,actions,beginner,True,simple-eng-med.xlsx,Sheet1,658,needs_review,2,
don_t_come,Don't come,Kâ sè',actions,beginner,True,simple-eng-med.xlsx,Sheet1,689,needs_review,2,
don_t_do_it_again,Don't do it again,ka ben ghù,actions,beginner,True,simple-eng-med.xlsx,Sheet1,560,needs_review,4,
don_t_do_like_that,Don't do like that,Kâ ghù ndulâ,actions,beginner,True,simple-eng-med.xlsx,Sheet1,745,needs_review,4,
don_t_finish,Don't finish,Kâ miagde,actions,beginner,True,simple-eng-med.xlsx,Sheet1,646,needs_review,2,
don_t_finish_your_money,Don't finish your money,Ka miagde nkàb u,actions,beginner,True,simple-eng-med.xlsx,Sheet1,650,needs_review,4,
don_t_hit_her,Don't hit her,kâ là bi,actions,beginner,True,simple-eng-med.xlsx,Sheet1,535,needs_review,3,
don_t_sell,Don't sell,kâ swène,actions,beginner,True,simple-eng-med.xlsx,Sheet1,659,needs_review,2,
don_t_sit,Don't sit,Ka tswe nsi,actions,beginner,True,simple-eng-med.xlsx,Sheet1,466,needs_review,2,
don_t_touch,Don't touch,Ka nkwag,actions,beginner,True,simple-eng-med.xlsx,Sheet1,446,needs_review,2,
don_t_walk,Don't walk,Ka zin,actions,beginner,True,simple-eng-med.xlsx,Sheet1,465,needs_review,2,
give_him,Give him,Fâ yi,actions,beginner,True,simple-eng-med.xlsx,Sheet1,507,needs_review,2,
give_me,Give me,Fâ me,actions,beginner,True,simple-eng-med.xlsx,Sheet1,292,needs_review,2,
give_mine,Give mine,Fa yam,actions,beginner,True,simple-eng-med.xlsx,Sheet1,417,needs_review,2,
go,Go,Nèn,actions,beginner,True,simple-eng-med.xlsx,Sheet1,670,needs_review,1,
go,Go,shua,actions,beginner,True,simple-eng-med.xlsx,Sheet1,671,needs_review,1,
go_and_sleep,Go and sleep,Nèn nzi,actions,beginner,True,simple-eng-med.xlsx,Sheet1,744,needs_review,3,
go_with_this,Go with this,Nèn yi,actions,beginner,True,simple-eng-med.xlsx,Sheet1,558,needs_review,3,
i_am_going_to_hit_you,I am going to hit you,Mè à ' là bo,actions,beginner,True,simple-eng-med.xlsx,Sheet1,534,needs_review,6,
i_don_t_have,I don't have,Me ke’ ghù,actions,beginner,True,simple-eng-med.xlsx,Sheet1,458,needs_review,3,
i_don_t_have_money,I don't have money,Me ke’ ghù nkàb.,actions,beginner,True,simple-eng-med.xlsx,Sheet1,459,needs_review,4,
i_forgot,I forgot,Me lagde,actions,beginner,True,simple-eng-med.xlsx,Sheet1,355,needs_review,2,
jump,Jump,Ywele,actions,beginner,True,simple-eng-med.xlsx,Sheet1,445,needs_review,1,
let_her_go,Let her go,Fan i,actions,beginner,True,simple-eng-med.xlsx,Sheet1,721,needs_review,3,
let_s_go,Let's go,bè nene,actions,beginner,True,simple-eng-med.xlsx,Sheet1,328,needs_review,2,
let_s_go_and_sleep,Let's go and sleep,Bè nèn nzi,actions,beginner,True,simple-eng-med.xlsx,Sheet1,748,needs_review,4,
let_s_go_to_the_hospital,Let’s go to the hospital,Bag wù nèn ndàtshwén,actions,beginner,True,simple-eng-med.xlsx,Sheet1,241,needs_review,5,
