source_file,source_sheet,source_row,English,Medumba,category,status,review_reason,word_count
simple-eng-med.xlsx,Sheet1,2,"Whatever you want,","Mba ke lo zʼo tshwèt nkô là,",questions,needs_review,Needs native speaker review.,3
simple-eng-med.xlsx,Sheet1,3,What's happening?,A côb mbè ke?,learning,needs_review,Needs native speaker review.,2
simple-eng-med.xlsx,Sheet1,4,she did not say anything,A kê cob sa ju,values_communication,needs_review,Needs native speaker review.,5
simple-eng-med.xlsx,Sheet1,5,Everyone,Njoñ benntùn fa,general,needs_review,Needs native speaker review.,1
simple-eng-med.xlsx,Sheet1,6,make break,Fite,general,needs_review,Needs native speaker review.,2
simple-eng-med.xlsx,Sheet1,7,I am cured,Me yade,health_hygiene,needs_review,Needs native speaker review.,3
simple-eng-med.xlsx,Sheet1,8,Remove your hand,Le' bu u,body,needs_review,Needs native speaker review.,3
simple-eng-med.xlsx,Sheet1,9,Special biblical discourse,Tumlam tu ntshobe,general,needs_review,Needs native speaker review.,3
simple-eng-med.xlsx,Sheet1,10,"This speech will be given about a week before the memorial. He will discuss the hope that the Bible provides, that the sacrifice of the ransom of Jesus makes possible.","Boaʼ fà yen tu ntshobe li à taʼ ngabnjù ke bàa lo kà bo kwimde vù Yésu. Aʼ tshob mfà num nywinde ze Ñwaʼni Nsi tshwèt mfà ben nà, ntshùade njam ju tshuʼ ze Yésu naʼ mbé là.",actions,source_context_only,Religious/source-context term; keep out of beginner lessons unless intentionally used.,30
simple-eng-med.xlsx,Sheet1,11,Who makes Jehovah's will today?,We zʼa tshwèt ngù ze nekô Yaweh Nsi sènni à?,questions,source_context_only,Religious/source-context term; keep out of beginner lessons unless intentionally used.,5
simple-eng-med.xlsx,Sheet1,12,God wants his will to become known all over the world. What is that will and who teaches others about it today?,"Nsi kô mbe bo lèn ze nekô num njoñ nsitshaʼ fa. Ze nekô bʼa zile, we bèn nke ntswide nu mfà num bwe sènni à?",questions,source_context_only,Religious/source-context term; keep out of beginner lessons unless intentionally used.,22
simple-eng-med.xlsx,Sheet1,13,God wants us to live on a paradise earth forever in peace and happiness!,Nsi kô mbe be tswe fide ngù tsiañde matmat num nsitshaʼ zʼa be Paradis là!,body,source_context_only,Religious/source-context term; keep out of beginner lessons unless intentionally used.,14
simple-eng-med.xlsx,Sheet1,14,God wants us to go on his way.,Nsi kô be zin num tse manze.,actions,source_context_only,Religious/source-context term; keep out of beginner lessons unless intentionally used.,8
simple-eng-med.xlsx,Sheet1,15,"Study the Bible with us. Did you start studying the Bible with Jehovah's Witnesses? If not, do you want to have a personal Bible study? It is free. You will find that it is a good way for you to get closer to God.","Ziʼde Ñwaʼni Nsi bo bag. O yà toʼde neziʼde Ñwaʼni Nsi boa Ghakwénta Yaweh Nsi ké? A be zʼo keʼ yoñ ntoʼde là, o kô mbe bo ywimdʼo neziʼde Ñwaʼni Nsi ké? Neziʼde bʼa bànbàn. Oaʼ yen mbe a taʼ mat mebwô là wù neghebte Nsi.",questions,source_context_only,Religious/source-context term; keep out of beginner lessons unless intentionally used.,44
simple-eng-med.xlsx,Sheet1,16,Get free literature. You can go to a local Kingdom Hall or speak to one of Jehovah's Witnesses and ask for a publication in your language that will help you understand the Bible.,"Kwé ba ñwaʼni bànbàn. Be o nèn ntùm taʼ ndà ntseʼde zʼa ghebtʼo là, kà netshob taʼ ngakwénta Yaweh Nsi lo, mbèn mbètte taʼ ñwaʼni mum ntshob mu zʼa ywimdʼo nejuʼ Ñwaʼni Nsi mebwô là.",animals,source_context_only,Religious/source-context term; keep out of beginner lessons unless intentionally used.,33
simple-eng-med.xlsx,Sheet1,17,What kind of people are Jehovah's witnesses?,Ghakwénta Yaweh Nsi bʼa ke lèn benntùn à?,questions,source_context_only,Religious/source-context term; keep out of beginner lessons unless intentionally used.,7
simple-eng-med.xlsx,Sheet1,18,"We benefit from studying the Bible. Like everyone else, we have to deal with problems and our own weaknesses. By trying to apply Bible principles in our daily life, we have experienced a significant improvement in our quality of life. This is one reason why we share the good things with others that we learned from the Bible.","Bag be njù bin neziʼde Ñwaʼni Nsi. Mba mba we lo là, bag ghù tshag ngùtni bo tshag bot. Ndaʼndù bag be nkagtùn neke nze ntshùʼ Nsi njoñ léʼ fa, njen mbade ntùm yôg sage. Yennà bʼa taʼ ju zʼa be ntènde yag neke ntshob mbwô tshu tse bag ziʼde ntùm Ñwaʼni Nsi là tsemoʼo.",body,source_context_only,Religious/source-context term; keep out of beginner lessons unless intentionally used.,58
