story_segment_id,story_key,order_index,en_text,fr_text,med_text,source_file,source_sheet,source_row,status,notes
ss_00001,young_man_and_lion,1,,Le jeune homme et le lion.,Ta’ nguan nshum bo ngwayit,frabcaise_3.xlsx,Sheet1,2,needs_review,Clean French-Médumba aligned row from spreadsheet.
ss_00002,young_man_and_lion,2,,Il était une fois un jeune citadin qui n’avait jamais quitté sa ville.,"A na’ mbe ta’ lé’, ta’ nguan nshum z’a na’ ke to’ tum ze tùsô nèn dù’ ghuà là.",frabcaise_3.xlsx,Sheet1,3,needs_review,Clean French-Médumba aligned row from spreadsheet.
ss_00003,young_man_and_lion,3,,"Il décida un jour de visiter le village de ses ancêtres, un petit village perdu dans la campagne, situé près d’une grande forêt.","A lo’ mfi’ ta’ lé nenèn ntùm ntañla’ tà tse, ta’ meto’ tañla’ ngùanesà mbañ ta’ fèn ndùb.",frabcaise_3.xlsx,Sheet1,4,needs_review,Clean French-Médumba aligned row from spreadsheet.
ss_00004,young_man_and_lion,4,,"Dans cette forêt, il y avait beaucoup d’animaux sauvages et surtout des lions.","Nyàm tshwèt na’ yàm ntùm sen fèn nà, là ngwayit mbèn njàm ntshùade.",frabcaise_3.xlsx,Sheet1,5,needs_review,Clean French-Médumba aligned row from spreadsheet.
ss_00005,young_man_and_lion,5,,"Le jeune homme n’avait jamais vu de lion ni à la télévision, ni en photos.","Yen nguan nshum nà na’ ke to’ yen ngwayit ke ntùm ngùayen no, ke num netshañ no.",frabcaise_3.xlsx,Sheet1,6,needs_review,Clean French-Médumba aligned row from spreadsheet.
ss_00006,young_man_and_lion,6,,Il faut dire que ces produits de la modernité n’étaient pas connus dans ces temps-là chez nous.,"A bwô netshob mbe, num tshen ngelañ nà bag na’ ke to’ yen tshen tshu nswe là la’ bag.",frabcaise_3.xlsx,Sheet1,7,needs_review,Clean French-Médumba aligned row from spreadsheet.
ss_00007,young_man_and_lion,7,,"Les gens de ce village n’allaient jamais dans la forêt, à cause des lions.","Mba ngwayit na’ mbe ntùm mfèn nà, Benntùn yen tañla’ là na’ ke be nèn mà bwe.",frabcaise_3.xlsx,Sheet1,8,needs_review,Clean French-Médumba aligned row from spreadsheet.
ss_00008,young_man_and_lion,8,,"On raconte même que, quand les lions rugissaient dans la forêt, les portes des maisons claquaient, les canaris et les marmites se renversaient et tous les gens se terraient dans leur maison.","Bo tshwèt mbèn ntshob mbe, ngelañ ba ngwayit na’ nke nkua’ ntùm mfèn nà, ba nzendà nke nga’de mbèn nke ndôge, ba ntu’ boa ba mba nke ngwùde nsi, mba zit mèn no lem wul i ndà i.",frabcaise_3.xlsx,Sheet1,9,needs_review,Clean French-Médumba aligned row from spreadsheet.
ss_00009,young_man_and_lion,9,,"Un beau matin, donc, le jeune citadin qui s’appelait Demba débarqua dans le village de ses ancêtres et fait vite connaissance avec tout le monde, et surtout avec Fatou, une belle jeune fille qui était une de ses cousines lointaines.","Ta’ bam nkebnjù, yen nguan nshum nà z’a nke ntswe tùsô là lén se Demba se’ ntùm ntañla’ tà tse. A to’de nekut kushun bo njoñ benntùn fa, njôg mbe bo Fatou, ta’ mo’ mbwô ngon. A na’ mb’a mèn mo’ mvèt tàb ke mab lo.",frabcaise_3.xlsx,Sheet1,10,needs_review,Clean French-Médumba aligned row from spreadsheet.
ss_00010,young_man_and_lion,10,,"Les fiançailles ne durèrent pas longtemps, car ils décidèrent de se marier. Après quelques jours de noces, Demba retourna en ville.","Bo tede ke tswe, ndo’ mfi’ nenandà. Bo nyiañ nandà men lé’ a mi, Demba bèn tùsô.",frabcaise_3.xlsx,Sheet1,11,needs_review,Clean French-Médumba aligned row from spreadsheet.
