source_file,paragraph_index,raw_text,status,notes
Anta et Mamadou (1).docx,1,Anta et Mamadou Anta bo Mamadou,raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,2,"Un jeune homme du nom de Mamadou, qui voulait apprendre à lire et à écrire, partit un jour à la recherche d'une école. Il quitta sa province pour se rendre dans la région du Kayor, au Sénégal.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,3,Med: Ta’ nguan nshum lén se Mamadou z’a na’ nke kô nezi’de nesiañ mba neki ju là nèn diag ta’ dù’ ñwa’ni. A fañ ze tañla’ nèn tùsô Kayor mà Sénégal.,raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,4,"Là vivait un savant qui enseignait aux enfants. Mamadou resta auprès de son maître aussi longtemps que nécessaire. Quand il sut lire et écrire parfaitement, il décida de rentrer chez lui.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,5,"Med: Ta’ ngazenu z’a na’ nke ntswide bwônke’ là na’ nke ntswe mà bwe. Mamadou tswe mbañ ze ngatswide ju njoñ ngelañ z’a na’ mbètte là. Ngelan a zi’de neki mba nesiañ ju kua’ mebwô là, a lo’ mfi’ nebèn la’ i.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,6,"Le jour de son départ, un camarade de classe, qui appartenait à l'espèce des génies, lui dit : Nous sommes amis. Puisque tu t'en retournes chez toi, je vais te charger d'un message pour mes parents et je te transporterai dans ton village à la vitesse de l'éclair.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,7,"Med: Lé’ z’a na’ nke mbèn nà, ta’ nshun ñwa’ni z’a na’ mb’a ta’ ziag là, tshob yi ndù : Bag wù b’a nshune. Mb’o tshwèt mbèn la’ o là, m’a’ tshag ta’ nkùn tà tshàm, ndañndañ mba beba’mbañ num nso nde là, m’a’ mbèn kel o nte la’ o.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,8,"Tu ne sais pas qui je suis, mais moi je te connais bien, car nous sommes nés au même endroit.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,9,"Med: O ke’ lèn mèn ze me be yi là, nda’ndù me lèn o kua’ mebwô nummbe bo bwe yag à dù’ ntshù’.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,10,"Nous autres, les génies, nous vous reconnaissons très bien mais vous, les humains, vous ne pouvez pas nous apercevoir. Quand tu seras chez toi, mets à ton doigt cette bague d'argent, et tu pourras voir les génies et leurs villages.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,11,"Med:Bag, ba ziag, bag num njen zin ndèn zin kua’ mebwô, nda’ndù bin, benntùn nyiañtu, be bin ke yen yag ndène. Ngelañ z’o kum la’ o là, so yen kwa li bu o ndùlà, oa’ yen ba ziag boa tañla’ tshob.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,12,"Si tu l'ôtes ou si tu la perds, tout disparaîtra de nouveau. Le génie demanda ensuite à Mamadou de s'asseoir sur son tapis et de fermer les yeux. À peine Mamadou avait-il obéi qu'il se retrouva, comme par magie, dans son village.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,13,"Med: O sô kwa là ke a bi lo, mba njoñ tshu fa a’ mbèn mbi. Ziag mbèn tshob Mamadou mb’a tswe nsi num mata, mem miag mi. Mamadou be tshù ndù a ya kum ntùm ntañla’ se.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,14,"Le lendemain matin, Mamadou passa la bague à son doigt. Il aperçut alors tous les génies et leurs villages. Il alla rendre visite à la famille de son camarade.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,15,"Med: Njù be làn, Mamadou so kwa bu i. A yen njoñ ba ziag fa boa ntañla’ tshob. A nèn ndôde tunndà nshun i.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,16,"Le génie, votre parent, vous envoie le bonjour, leur dit-il. Et où est-il, notre cher enfant ? lui demanda-t-on.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,17,"Med : A tshob bo ndù : ziag, zin mèn, tsha’de zine. Bo bètt’é ndù: mèn yag ze tanjoñ b’a yà?",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,18,"Je l'ai laissé dans un village du Kayor. Il continue de fréquenter l'école. Ah, s'écrièrent les parents, notre brave petit se conduit bien!",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,19,Med: Me fañ i ntùm ta’ tañla’ lén se Kayor. A tshwèt nèn mbwe bo ñwa’ni mà bwe. Bo tô ntshob ndù: zebe mèn b’a ta’ mbwô mèn.,raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,20,"Et toi, Mamadou, il faut que tu t'en retournes chez toi, mais, chaque fois que tu auras du temps libre, ne manque pas de venir nous voir.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,21,"Med: Wù, Mamadou, a bwô ndù o bèn la’ o, nda’ndù, njoñ ngelañ fa z’o tswe ke ghù ju là, se’ ndôde yag.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,22,"Mamadou s'en retourna chez ses parents, mais, chaque fois qu'il en avait l'occasion, il rendait de longues visites aux génies. C'est qu'il avait vu la sœur de son camarade, Anta, une jolie demoiselle, et qu'il désirait l'épouser.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,23,"Med:Mamadou bèn la’ tà tse, là, njoñ ngelañ fa z’a na’ nku’ni là, a nke nèn lôde ba ziag, ntswe bwe ngelañ yàme. A b’a mbe a na’ yen mvèt nshun i ze mènnzwi, lén se Anta, ta’ ngon ndù a bwô, a nke nkô nenandà bo yi.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,24,"Lorsqu'il lui fit sa déclaration, Anta répondit : « Je ne demande pas mieux ! Pourtant, j'hésite à me marier avec un être humain… Vous êtes si coléreux! Et si bavards ! Et vous mentez si facilement ! Chez nous, il n'en va pas de même : jamais un génie ne s'emporte, jamais il ne trahit un secret ; il ne parle que pour dire la vérité. »",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,25,"Med: Ngelañ z’a bètte Anta nandà là, Anta bùnde ntshob ndù : « A’ bwô àm ! nda’ndù, me tshwèt mbèn nsiañde nu num nenandà bo ta’ mènntùn nyiañtu… bin num nja ntù nde ! ntshobte neshu ! mbèn nke ntatte yàme ! A ke’ be tôg à ndùlà la’ bag : ta’ ziag ke’ be ya ntù, a ke’ be soñ ju ze bo tshob ntùm tsham nà; a nke ntshob à nda’ nenùne. »",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,26,Mamadou protesta :,raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,27,"Quand nous serons mariés, tu verras que, moi non plus, je ne m'emporte pas et que jamais je ne mens !",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,28,"— S'il en est ainsi, le mariage est conclu ! Je t'accepte pour mari. Mais je te défends de révéler à quiconque que tu as épousé une femme de l'espèce des génies !",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,29,Med: Mamadou bùnde ntshob ndù :,raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,30,"Ngelañ ze bag wù na ndà là, oa’ yen mbe, mba me, me ke’ be ya ntù, me ke’ be tatte.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,31,"— A be ndùlala, mba be bag wù na ndà! Me bam nebe nzwi o. nda’ndù, kà nzi soñ mènntùn, a be mba wù lo ndù o na ndà bo ta’ mènnzwi ziag.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,32,— C'est entendu ! promit Mamadou.,raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,33,Med: Me ju’ ! Mamadou bù zwi i.,raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,34,"— Eh bien, déclara Anta, nous pouvons célébrer notre mariage.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,35,Med: Anta tshob ndù : be bag wù na ndà,raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,36,"Depuis, Anta et Mamadou vivaient heureux.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,37,"Med: Fe yen ngelañ nà, Anta bo Mamadou tswe ntùm ntsiañde",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
Anta et Mamadou (1).docx,38,"Mais un jour qu'Anta avait quitté à l'aube le village pour se rendre dans sa famille, Mamadou se réveilla pour constater que, pendant la nuit, son grenier de mil avait pris feu, son pur-sang était mort, et son puissant taureau était tombé au fond du puits.",raw_source,Use StorySegments for aligned rows where available; this table preserves original paragraph text.
