concept_key,display_name,category,difficulty,recommended_for_mvp,status,source_files,notes
awaken_him,awaken him,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
bring,Bring,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
bring_back_to_you,Bring back to you,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
come,Come,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
come_and_embrace_me,Come and embrace me,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
come_and_get,Come and get,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
come_and_greet_me,Come and greet me,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
come_and_sleep,Come and sleep,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
come_and_take,Come and take,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
do_it_again,Do it again,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
do_like_that,Do like that,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
do_like_this,Do like this,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
don_t_awaken_her,don't awaken her,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
don_t_buy,Don't buy,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
don_t_come,Don't come,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
don_t_do_it_again,Don't do it again,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
don_t_do_like_that,Don't do like that,actions,beginner,True,draft_needs_review,simple-eng-med.xlsx,Auto-extracted from short English-Médumba pair. Needs native speaker review.
